FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970503;1300;93;;;
970503;1400;104;;;
970503;1500;123;;;
970503;1600;139;;;
970503;1700;72;;;
970503;1800;20;;;
970503;1900;6;;;
970503;2000;4;;;
970503;2100;4;;;
970503;2200;6;;;
970503;2300;6;;;
970504;0000;8;;;
970504;0100;11;;;
970504;0200;15;;;
970504;0300;17;;;
970504;0400;20;;;
970504;0500;25;;;
970504;0600;24;;;
970504;0700;21;;;
970504;0800;21;;;
970504;0900;30;;;
970504;1000;45;;;
970504;1100;55;;;
970504;1200;80;;;
970504;1300;98;;;
970504;1400;135;;;
970504;1500;98;;;
970504;1600;79;;;
970504;1700;35;;;
970504;1800;7;;;
970504;1900;2;;;
970504;2000;3;;;
970504;2100;3;;;
970504;2200;2;;;
970504;2300;4;;;
970505;0000;8;;;
970505;0100;12;;;
970505;0200;30;;;
970505;0300;35;;;
970505;0400;26;;;
970505;0500;25;;;
970505;0600;22;;;
970505;0700;5;;;
970505;0800;4;;;
970505;0900;14;;;
970505;1000;;;;
970505;1100;;;;
970505;1200;53;;;
970505;1300;68;;;
970505;1400;73;;;
970505;1500;77;;;
970505;1600;73;;;
970505;1700;43;;;
970505;1800;10;;;
970505;1900;4;;;
970505;2000;4;;;
970505;2100;5;;;
970505;2200;3;;;
970505;2300;4;;;
970506;0000;9;;;
970506;0100;21;;;
970506;0200;24;;;
970506;0300;18;;;
970506;0400;19;;;
970506;0500;17;;;
970506;0600;14;;;
970506;0700;5;;;
970506;0800;5;;;
970506;0900;8;;;
970506;1000;23;;;
970506;1100;46;;;
970506;1200;83;;;
970506;1300;92;;;
970506;1400;72;;;
970506;1500;74;;;
970506;1600;70;;;
970506;1700;36;;;
970506;1800;6;;;
970506;1900;11;;;
970506;2000;5;;;
970506;2100;6;;;
970506;2200;18;;;
970506;2300;10;;;
970507;0000;15;;;
970507;0100;21;;;
970507;0200;25;;;
970507;0300;25;;;
970507;0400;25;;;
970507;0500;22;;;
970507;0600;15;;;
970507;0700;4;;;
970507;0800;5;;;
970507;0900;11;;;
970507;1000;18;;;
970507;1100;32;;;
970507;1200;52;;;
970507;1300;64;;;
970507;1400;60;;;
970507;1500;36;;;
970507;1600;27;;;
970507;1700;17;;;
970507;1800;2;;;
970507;1900;2;;;
970507;2000;2;;;
970507;2100;1;;;
970507;2200;1;;;
970507;2300;2;;;
970508;0000;2;;;
970508;0100;2;;;
970508;0200;3;;;
970508;0300;4;;;
970508;0400;13;;;
970508;0500;10;;;
970508;0600;4;;;
970508;0700;3;;;
970508;0800;4;;;
970508;0900;13;;;
970508;1000;29;;;
970508;1100;49;;;
970508;1200;72;;;
970508;1300;74;;;
970508;1400;70;;;
970508;1500;58;;;
970508;1600;43;;;
970508;1700;27;;;
970508;1800;7;;;
970508;1900;2;;;
970508;2000;1;;;
970508;2100;2;;;
970508;2200;1;;;
970508;2300;2;;;
970509;0000;1;;;
970509;0100;2;;;
970509;0200;10;;;
970509;0300;15;;;
970509;0400;16;;;
970509;0500;25;;;
970509;0600;9;;;
970509;0700;4;;;
970509;0800;3;;;
970509;0900;8;;;
970509;1000;30;;;
970509;1100;46;;;
970509;1200;52;;;
970509;1300;71;;;
970509;1400;87;;;
970509;1500;83;;;
970509;1600;45;;;
970509;1700;16;;;
970509;1800;2;;;
970509;1900;3;;;
970509;2000;6;;;
970509;2100;1;;;
970509;2200;2;;;
970509;2300;2;;;
970510;0000;5;;;
970510;0100;7;;;
970510;0200;12;;;
970510;0300;17;;;
970510;0400;2;;;
970510;0500;1;;;
970510;0600;1;;;
970510;0700;1;;;
970510;0800;2;;;
970510;0900;4;;;
970510;1000;16;;;
970510;1100;14;;;
970510;1200;37;;;
970510;1300;55;;;
970510;1400;59;;;
970510;1500;62;;;
970510;1600;47;;;
970510;1700;16;;;
970510;1800;4;;;
970510;1900;2;;;
970510;2000;1;;;
970510;2100;2;;;
970510;2200;2;;;
970510;2300;2;;;
970511;0000;6;;;
970511;0100;6;;;
970511;0200;6;;;
970511;0300;1;;;
970511;0400;5;;;
970511;0500;12;;;
970511;0600;8;;;
970511;0700;6;;;
970511;0800;6;;;
970511;0900;17;;;
970511;1000;27;;;
970511;1100;48;;;
970511;1200;70;;;
970511;1300;87;;;
970511;1400;104;;;
970511;1500;123;;;
970511;1600;123;;;
970511;1700;62;;;
970511;1800;17;;;
970511;1900;2;;;
970511;2000;2;;;
970511;2100;2;;;
970511;2200;2;;;
970511;2300;3;;;
970512;0000;11;;;
970512;0100;10;;;
970512;0200;8;;;
970512;0300;14;;;
970512;0400;16;;;
970512;0500;13;;;
970512;0600;7;;;
970512;0700;2;;;
970512;0800;3;;;
970512;0900;4;;;
970512;1000;5;;;
970512;1100;6;;;
970512;1200;8;;;
970512;1300;14;;;
970512;1400;18;;;
970512;1500;17;;;
970512;1600;18;;;
970512;1700;5;;;
970512;1800;2;;;
970512;1900;3;;;
970512;2000;3;;;
970512;2100;1;;;
970512;2200;1;;;
970512;2300;1;;;
970513;0000;4;;;
970513;0100;4;;;
970513;0200;16;;;
970513;0300;12;;;
970513;0400;17;;;
970513;0500;14;;;
970513;0600;12;;;
970513;0700;3;;;
970513;0800;3;;;
970513;0900;5;;;
970513;1000;14;;;
970513;1100;38;;;
970513;1200;61;;;
970513;1300;74;;;
970513;1400;73;;;
970513;1500;66;;;
970513;1600;53;;;
970513;1700;24;;;
970513;1800;4;;;
970513;1900;3;;;
970513;2000;4;;;
970513;2100;3;;;
970513;2200;2;;;
970513;2300;2;;;
970514;0000;2;;;
970514;0100;5;;;
970514;0200;10;;;
970514;0300;10;;;
